case_id,school_id,automated_scope,suggested_query,retrieved_passage,source_url,relevance,matched_query_terms,include_in_audit,human_query,human_expected_scope,human_evidence_expected,human_expected_terms,human_expected_source_contains,reviewer_notes
retrieval-school-centre-rc1848-language,CENTRE:RC1848,school,What language-learning opportunities are described?,"Sign up for our playgroup programme, your child can learn through play!  Registration for 2027 is opened! Admission for Children born from 2021 to 2024 Playgroup/Pre-Nursery/Nursery/K1/K2 Please contact us at 65114103 or email to office@riverlifekindergarten.org.sg to arrange for a school visit. Welcome to Riverlife Kindergarten For school visits, every child must be accompanied by their parent/s. Hear about our unique curriculum, view the premises, consult our team on any other matters concerning your child's early years education. Find out more Curriculum Riverlife Kindergarten provides fun learning experiences necessary for the holistic growth and development of joyful, life-long learners. Aesthetics & Creative Expression Discovery of the World Outdoor Activities Language & Literacy Motor Skills Development Practical Life Exercises Numeracy Information and Communication Technology (ICT) Social & Emotional Development Bravo! Migrant Workers 3 video clips prepared for the migrant workers from the children together with their families. Testimonials Would you recommend Riverlife Kindergarten to others? The programme is holistic and provides a good foundation for my child. The management team provides good leadership, and the teachers communicate effectively with parents. Persis,",https://www.riverlifekindergarten.org.sg/,0.475,language | learning,yes,what languages are taught in school?,school,yes,English | Chinese,www.riverlifekindergarten.org.sg,The branch page lists English and Chinese literacy.
retrieval-school-centre-pt4840-curriculum,CENTRE:PT4840,school,What curriculum or teaching approach does this preschool describe?,"every child, in families who walk this journey together. You might recognise something familiar here — the spirit of Reggio, Montessori, play-based learning. They share a common root: knowledge is built through experience, not delivered. We call that constructivism. Design thinking is how we give it shape: curious, iterative, deeply human. ​ Here, no one is left behind. Everyone moves forward—together. Established in 1999 For 18 months to 6 years (Early years and kindergarten programmes) Located in 16 Pebble Lane, Singapore 437565 (Paya Lebar / Katong / Joo Chiat / East Coast area) Licensed hours Monday to Friday, 7:00am to 7:00pm Typical community hours 8:00am to 6:00pm​ Curriculum Constructivist · Design thinking · Aligned to ECDA Nurturing Early Learners (NEL) framework Class Structure Multi-age groupings within Early Years and Preschool cohorts Programmes Early Years • Kindergarten • Early Intervention & Inclusive Practices Fees from SGD 1,300/month, before government subsidy",https://www.pebbleplacedc.com/,0.53,curriculum | approach | preschool,yes,What kind of curriculum does the preschool have?,school,yes,play-based learning,www.pebbleplacedc.com,Assistant-assisted label: passage contains topic-specific evidence 'play-based learning' for the query; independent human verification not performed.
retrieval-school-centre-pt4840-fees,CENTRE:PT4840,school,What does the page say about fees or subsidies?,"every child, in families who walk this journey together. You might recognise something familiar here — the spirit of Reggio, Montessori, play-based learning. They share a common root: knowledge is built through experience, not delivered. We call that constructivism. Design thinking is how we give it shape: curious, iterative, deeply human. ​ Here, no one is left behind. Everyone moves forward—together. Established in 1999 For 18 months to 6 years (Early years and kindergarten programmes) Located in 16 Pebble Lane, Singapore 437565 (Paya Lebar / Katong / Joo Chiat / East Coast area) Licensed hours Monday to Friday, 7:00am to 7:00pm Typical community hours 8:00am to 6:00pm​ Curriculum Constructivist · Design thinking · Aligned to ECDA Nurturing Early Learners (NEL) framework Class Structure Multi-age groupings within Early Years and Preschool cohorts Programmes Early Years • Kindergarten • Early Intervention & Inclusive Practices Fees from SGD 1,300/month, before government subsidy",https://www.pebbleplacedc.com/,0.475,fees | subsidy,yes,How much are the school fees and is there any subsidies?,school,yes,"SGD 1,300/month",www.pebbleplacedc.com,"The page states that fees start from SGD 1,300 per month before government subsidy."
retrieval-school-centre-pt4840-enrichment,CENTRE:PT4840,school,What enrichment activities or programmes are described?,"every child, in families who walk this journey together. You might recognise something familiar here — the spirit of Reggio, Montessori, play-based learning. They share a common root: knowledge is built through experience, not delivered. We call that constructivism. Design thinking is how we give it shape: curious, iterative, deeply human. ​ Here, no one is left behind. Everyone moves forward—together. Established in 1999 For 18 months to 6 years (Early years and kindergarten programmes) Located in 16 Pebble Lane, Singapore 437565 (Paya Lebar / Katong / Joo Chiat / East Coast area) Licensed hours Monday to Friday, 7:00am to 7:00pm Typical community hours 8:00am to 6:00pm​ Curriculum Constructivist · Design thinking · Aligned to ECDA Nurturing Early Learners (NEL) framework Class Structure Multi-age groupings within Early Years and Preschool cohorts Programmes Early Years • Kindergarten • Early Intervention & Inclusive Practices Fees from SGD 1,300/month, before government subsidy",https://www.pebbleplacedc.com/,0.2375,programme,yes,what kind of activities will the children experience?,school,no,,www.pebbleplacedc.com,Assistant-assisted label: no defensible topic-specific evidence was found in the saved passage; independent human verification not performed.
retrieval-school-centre-rc1150-curriculum,CENTRE:RC1150,school,What curriculum or teaching approach does this preschool describe?,"able to partner with, serve and care for our community - Collaborate with families to nurture our very young children holistically - Cultivate mutual respect and love for one another - Develop a sense of responsibility towards self and others Our Professionals: The centre principal oversees the daily operation, guides and leads a pool of staff who are - well-qualified, trained and experienced in preschool education, - active and passionate, - warm, gentle, caring and dedicated and, - flexible, talented and creative. Our Curriculum Approach Our school follows a Thematic Approach to teaching and learning. This method integrates various subjects under common themes, helping students make meaningful connections across disciplines. It encourages active learning, creativity, and critical thinking by engaging students in real-world topics that spark their curiosity. Through this approach, we aim to provide a more holistic and engaging learning experience that supports your child's intellectual, emotional, and social development. Daily Activities of our Infants, Toddlers, Nursery One/Two, Kindergarten One/Two Field Trips Science Centre River Wonders SEA Aquarium 1/6 Enrichment Programs Zumba Zumba class Lego Robotics 1/2 Happy Birthday",https://www.moriahbpc.org/childcare,0.76,curriculum | teaching | approach | preschool,yes,What kind of curriculum does the preschool have?,school,yes,curriculum,www.moriahbpc.org,Assistant-assisted label: passage contains topic-specific evidence 'curriculum' for the query; independent human verification not performed.
retrieval-school-centre-rc1150-fees,CENTRE:RC1150,school,What does the page say about fees or subsidies?,"development. Daily Activities of our Infants, Toddlers, Nursery One/Two, Kindergarten One/Two Field Trips Science Centre River Wonders SEA Aquarium 1/6 Enrichment Programs Zumba Zumba class Lego Robotics 1/2 Happy Birthday and Children's Day Celebrations Contact Us: Our centre is open for the daycare service from Monday to Friday 7am to 7pm; office opens from 8am to 5pm. Do drop by to vi sit us at 31 Simei Road Singapore 529974. For all appointments and enquiries please contact: Tel: 6788-4436 Email: admin-childcare@moriahbpc.org Visit our Facebook page",https://www.moriahbpc.org/childcare,0.2375,page,yes,How much are the school fees and is there any subsidies?,school,no,,www.moriahbpc.org,Assistant-assisted label: saved passage does not answer the query; independent human verification not performed.
retrieval-school-centre-rc1150-enrichment,CENTRE:RC1150,school,What enrichment activities or programmes are described?,"development. Daily Activities of our Infants, Toddlers, Nursery One/Two, Kindergarten One/Two Field Trips Science Centre River Wonders SEA Aquarium 1/6 Enrichment Programs Zumba Zumba class Lego Robotics 1/2 Happy Birthday and Children's Day Celebrations Contact Us: Our centre is open for the daycare service from Monday to Friday 7am to 7pm; office opens from 8am to 5pm. Do drop by to vi sit us at 31 Simei Road Singapore 529974. For all appointments and enquiries please contact: Tel: 6788-4436 Email: admin-childcare@moriahbpc.org Visit our Facebook page",https://www.moriahbpc.org/childcare,0.6625,enrichment | activity | programme,yes,what kind of activities will the children experience?,school,yes,lego robotics,www.moriahbpc.org,Assistant-assisted label: passage contains topic-specific evidence 'lego robotics' for the query; independent human verification not performed.
retrieval-school-centre-pt9932-outdoor,CENTRE:PT9932,school,Does this preschool describe outdoor learning or outdoor facilities?,"Lumina International Preschool Singapore – Bilingual & Trilingual Programmes for Ages 2–6. The World Has Changed. So Must Education . Learning should feel meaningful, human, and deeply rooted in common sense. View fullsize Welcome to Lumina Preschool Singapore, designed for today’s children and tomorrow’s world. Here, purposeful projects and inquiry-based learning ignite curiosity, creativity, and confidence in every child. Our curriculum is built on a solid French foundation with a global perspective, informed by the International Baccalaureate (IB) framework and guided by Innovation in early childhood education. Our students develop a strong foundation in core subjects and learn to think critically, solve problems creatively, and connect their learning to the real world through project-based activities. French Curriculum Preschool in Singapore with Global Perspective We believe real well-being takes root in childhood. That’s why, at Lumina, we put our hearts into creating a caring space where children grow the emotional smarts and strength to bounce back and become learners for life. This is our goal at Lumina: helping them at every step so they can go far and practice kindness at",https://www.luminasg.com/,0.38,preschool | learning,yes,Does this branch have an outdoor playground?,school,no,,www.luminasg.com,Assistant-assisted label: saved passage does not answer the query; independent human verification not performed.
retrieval-school-centre-pt9932-curriculum,CENTRE:PT9932,school,What curriculum or teaching approach does this preschool describe?,"Lumina International Preschool Singapore – Bilingual & Trilingual Programmes for Ages 2–6. The World Has Changed. So Must Education . Learning should feel meaningful, human, and deeply rooted in common sense. View fullsize Welcome to Lumina Preschool Singapore, designed for today’s children and tomorrow’s world. Here, purposeful projects and inquiry-based learning ignite curiosity, creativity, and confidence in every child. Our curriculum is built on a solid French foundation with a global perspective, informed by the International Baccalaureate (IB) framework and guided by Innovation in early childhood education. Our students develop a strong foundation in core subjects and learn to think critically, solve problems creatively, and connect their learning to the real world through project-based activities. French Curriculum Preschool in Singapore with Global Perspective We believe real well-being takes root in childhood. That’s why, at Lumina, we put our hearts into creating a caring space where children grow the emotional smarts and strength to bounce back and become learners for life. This is our goal at Lumina: helping them at every step so they can go far and practice kindness at",https://www.luminasg.com/,0.53,curriculum | approach | preschool,yes,What kind of curriculum does the preschool have?,school,yes,curriculum,www.luminasg.com,Assistant-assisted label: passage contains topic-specific evidence 'curriculum' for the query; independent human verification not performed.
retrieval-school-centre-pt9932-language,CENTRE:PT9932,school,What language-learning opportunities are described?,"the rhythm of real life and real needs. It’s a return to what matters: meaningful learning, and genuine human connection. Designed for the next generations Empowering Students for a Rapidly Changing World Designed for Building Confidence Empowering Students to Speak and Lead with Impact In a world where ideas matter, knowing how to share them is just as important as having them. We help children discover their voices and the joy of being heard. Through playful games, storytelling, and creative activities, they learn to express themselves with confidence, share their stories, and listen to others. Our daily opportunities to share help build courage and confidence, along with a lifelong love of connecting with others. Designed for Better Learning Understanding How the Brain Works At At Lumina, we believe that understanding how the brain processes information can truly enhance a child’s learning experience. Guided by Neuroscience in education, we focus on developing executive functions—the skills that help children stay attentive, plan, and solve problems. Strengthening these abilities makes learning more effective and enjoyable, giving children the confidence to take on new",https://www.luminasg.com/,0.475,learning | opportunity,yes,what languages are taught in school?,school,yes,"Bilingual (english and chinese) | Trilingual (english, chinese and french)",www.luminasg.com,he branch page advertises bilingual and trilingual programmes but does not name the languages in this passage.
retrieval-school-centre-pt7800-outdoor,CENTRE:PT7800,school,Does this preschool describe outdoor learning or outdoor facilities?,"School keeps the environment clean and we sanitized at least twice a year. The objective is to do an aerial disinfection against disease – causing viruses, bacteria, fungi and spores to prevent HFMD – Hand, Foot & Mouth Disease outbreaks. Our School’s Pest Control and Sanitization services are done by Certified Vector Control Technicians with NEA licence. Testimonies e i m n A shoutout to all the teachers, helpers and the whole team for your great care and guidance for both my kids. It had been a great journey and they enjoyed preschool very much. Keep up the good work and stay safe everybody! Heartful thanks :)) Parent of Leron (K2 2020) We are a 3 generation cohort family with Genius from my eldest to middle child and now the youngest is graduating. Even though many new childcare centers have been set up throughout the years we have never considered other facilities because of the wonderful teachers and the leadership of Mdm Ng. We trust our children's growing years with Genius Schoolhouse and there will never be other options for",https://www.geniusschoolhouse.com/,0.38,preschool | facility,yes,Does this branch have an outdoor playground?,school,yes,surrounded gardens | playgrounds,www.geniusschoolhouse.com,The branch page states that the school is surrounded by gardens and playgrounds.
retrieval-school-centre-pt7800-curriculum,CENTRE:PT7800,school,What curriculum or teaching approach does this preschool describe?,"Our Blog Our Programme Our Teachers A Genius Day Parents & Services Contact Us About Us A b o u t s Our Vision, Mission and Core Values Vision ""To Nurture every Child to a Genius"" Mission Provide a non pressurising environment for children to Play, Learn and Develop Make children feel Confident, Secured and Positive ​ Core Values Passion Patience Professionalism Our Professional We place particular emphasis on the professional development on our teachers to ensure that our child is nurtured and cared for. Our friendly and caring teachers, who are trained in early childhood education – Diploma level, always prioritize the interests of our children in their care and they are committed towards providing a safe and stimulating environment where young children can learn and develop to their fullest potential. Our Environment ur School is situated in HDB void deck (semi-aircon environment) with surrounded gardens and playgrounds. Our School keeps the environment clean and we sanitized at least twice a year. The objective is to do an aerial disinfection against disease – causing viruses, bacteria, fungi and spores",https://www.geniusschoolhouse.com/,0.3,curriculum | approach,yes,What kind of curriculum does the preschool have?,school,no,,www.geniusschoolhouse.com,Assistant-assisted label: saved passage does not answer the query; independent human verification not performed.
retrieval-school-centre-pt7800-fees,CENTRE:PT7800,school,What does the page say about fees or subsidies?,,https://www.geniusschoolhouse.com/,,,yes,How much are the school fees and is there any subsidies?,school,no,,www.geniusschoolhouse.com,Assistant-assisted label: saved passage does not answer the query; independent human verification not performed.
retrieval-school-centre-rc1799-curriculum,CENTRE:RC1799,school,What curriculum or teaching approach does this preschool describe?,"Train up a child in the way he should go; even when he is old he will not depart from it. Affiliate of Jurong Christian Church Book a Visit Now Register for 2026 Over 40 years of success across 2 generations of students Professional and caring teachers and staff Immersive bilingual and S.T.E.A.M. curriculum Unique Learning Environments Committed and Professional Management Committee More Info Why We are Children's Preferred Preschool Why Choose Us The biblical character and skills David developed was to consistently practice - whether it was the art of sling-throwing or tackling stronger animals or wilderness survival. These lessons cannot be learnt in theory or in a classroom. David had to take a step of faith and hone his techniques, skills and judgement, refining them in order to succeed. ​ Likewise, we want our children to apply what they learn in class in the real world, so that they truly acquire what they have learnt. Start young, start right, start with DGP, and your child's potential is limitless. Tap or hover over images to view more... Testimonials I",https://www.davidgoliath.sg/,0.53,curriculum | approach | preschool,yes,What kind of curriculum does the preschool have?,school,yes,curriculum,www.davidgoliath.sg,Assistant-assisted label: passage contains topic-specific evidence 'curriculum' for the query; independent human verification not performed.
retrieval-school-centre-rc1799-language,CENTRE:RC1799,school,What language-learning opportunities are described?,"Train up a child in the way he should go; even when he is old he will not depart from it. Affiliate of Jurong Christian Church Book a Visit Now Register for 2026 Over 40 years of success across 2 generations of students Professional and caring teachers and staff Immersive bilingual and S.T.E.A.M. curriculum Unique Learning Environments Committed and Professional Management Committee More Info Why We are Children's Preferred Preschool Why Choose Us The biblical character and skills David developed was to consistently practice - whether it was the art of sling-throwing or tackling stronger animals or wilderness survival. These lessons cannot be learnt in theory or in a classroom. David had to take a step of faith and hone his techniques, skills and judgement, refining them in order to succeed. ​ Likewise, we want our children to apply what they learn in class in the real world, so that they truly acquire what they have learnt. Start young, start right, start with DGP, and your child's potential is limitless. Tap or hover over images to view more... Testimonials I",https://www.davidgoliath.sg/,0.2375,learning,yes,what languages are taught in school?,school,yes,bilingual,www.davidgoliath.sg,Assistant-assisted label: passage contains topic-specific evidence 'bilingual' for the query; independent human verification not performed.
retrieval-school-centre-rc1799-enrichment,CENTRE:RC1799,school,What enrichment activities or programmes are described?,,https://www.davidgoliath.sg/,,,yes,what kind of activities will the children experience?,school,yes,STEAM | Coding & Robotics | Electrical Circuits,www.davidgoliath.sg,"The page describes weekly STEAM classes covering science, technology, engineering, arts and mathematics, including coding and robotics."
retrieval-operator-centre-pt7250-philosophy,CENTRE:PT7250,operator,What learning philosophy does the page describe?,"Who We Are With 37 years of expertise, Small Wonder has established themselves to be one of the leading POP preschools in Singapore. We believe that learning should be fun, enjoyable, and discovered by children themselves, all in an environment that they look forward to going to every day; Our Vision & Mission Our Team Stay Updated! Follow us on socials and be in the loop for all upcoming Small Wonder events and centre updates. Facebook Instagram Schedule A Tour",https://smallwonderpreschool.com/,0.2375,learning,yes,What kind of learning methods does the school emphasis on?,operator,yes,learning should be fun,smallwonderpreschool.com,Assistant-assisted label: passage contains topic-specific evidence 'learning should be fun' for the query; independent human verification not performed.
retrieval-operator-centre-pt7250-facilities,CENTRE:PT7250,operator,What facilities or learning environment are described?,"Who We Are With 37 years of expertise, Small Wonder has established themselves to be one of the leading POP preschools in Singapore. We believe that learning should be fun, enjoyable, and discovered by children themselves, all in an environment that they look forward to going to every day; Our Vision & Mission Our Team Stay Updated! Follow us on socials and be in the loop for all upcoming Small Wonder events and centre updates. Facebook Instagram Schedule A Tour",https://smallwonderpreschool.com/,0.475,learning | environment,yes,How is the learning environment of the school,operator,no,,smallwonderpreschool.com,Assistant-assisted label: no defensible topic-specific evidence was found in the saved passage; independent human verification not performed.
retrieval-operator-centre-rc0090-curriculum,CENTRE:RC0090,operator,What curriculum or teaching approach does this preschool describe?,"Now operating 12 high quality Partner-Operator (POP) preschools near you! Upcoming Open Houses: LSP (Praiseland) - 27 June 2026 LSP (TSA - Bukit Batok East) - 27 June 2026 Little Seeds Preschool Sowing seeds, transforming lives FIND OUT MORE We sow seeds & transform lives through faith-based preschools. Sowing seeds, transforming lives LOCATIONS CURRICULUM How it all started. Many Nurturing Preschools in Singapore Coming Together as Little Seeds In 2019, a group of faith-based preschools — including well-loved names like Ascension Kindergarten and St. James’ Church Kindergarten — came together under one identity: Little Seeds Preschool, under the umbrella of Anglican Preschool Services (APS) . United by Christian values and a belief in holistic preschool education, these centres shared a common conviction : that a child’s preschool years are formative ground, and that who a child is becoming matters as much as what a child can do. Rather than operating in isolation, they chose collaboration — sharing resources, wisdom and strength — to build something greater than any could alone. Today, Little Seeds has grown to 17 faith-based preschools across",https://littleseeds.edu.sg/,0.53,curriculum | approach | preschool,yes,What kind of curriculum does the preschool have?,operator,yes,curriculum,littleseeds.edu.sg,Assistant-assisted label: passage contains topic-specific evidence 'curriculum' for the query; independent human verification not performed.
retrieval-operator-centre-rc0090-enrichment,CENTRE:RC0090,operator,What enrichment activities or programmes are described?,"in isolation, they chose collaboration — sharing resources, wisdom and strength — to build something greater than any could alone. Today, Little Seeds has grown to 17 faith-based preschools across Singapore ( 12 Partner Operator and 5 Private centres). As a holistic preschool, we believe education extends beyond the classroom. Rooted in a value-based approach and committed to holistic academic growth, we nurture not just young minds, but the whole child — emotionally, socially, and spiritually. This is what it means to be a truly nurturing preschool in Singapore: walking alongside children and families, every step of the way. Our children are at the heart of what we do here, we honour and respect each one, recognising them as key contributors to society. In my visits to the centres, seeing children show me their new iron-on badges gave me a glimpse of how our community is embracing the brand. Our next steps include weaving elements of our rebranding story into our programme. Follow Little Seeds Preschool on Instagram",https://littleseeds.edu.sg/,0.2375,programme,yes,what kind of activities will the children experience?,operator,no,,littleseeds.edu.sg,Assistant-assisted label: no defensible topic-specific evidence was found in the saved passage; independent human verification not performed.
retrieval-operator-centre-rc0090-philosophy,CENTRE:RC0090,operator,What learning philosophy does the page describe?,,https://littleseeds.edu.sg/,,,yes,What kind of learning methods does the school emphasis on?,operator,yes,values-based curriculum | child-led | teacher-supported,littleseeds.edu.sg,"The operator describes a values-based curriculum with differentiated learning and authentic child-led, teacher-supported interactions; this is not verified for a particular branch."
retrieval-operator-centre-eb0001-curriculum,CENTRE:EB0001,operator,What curriculum or teaching approach does this preschool describe?,"old) over the years. Our children are very strong-willed in nature. We are very grateful that the school has given very strong support and partnership as we navigate countless challenges at home. We have observed that the design of E-Bridge curriculum has indeed delivered the desired outcome of a curious mind who is confident, capable, creative, communicative and respectable. Willis and Elissa Parenting Resources Parenting 5 Benefits of Guided Inquiry-Based Learning in Kindergarten As a parent, you want the best for your child, particularly in their education. Their early years are crucial for developing the skills and attitudes... Navigating Preschool Separation Anxiety: Tips to Support Your Child Developing Effective Bilingual Children: How Mother Tongue Language Learning in Kindergarten Benefits Your Child Tips for a Smooth Transition into Childcare",https://info.e-bridge.edu.sg/registration-of-interest,0.53,curriculum | approach | preschool,yes,What kind of curriculum does the preschool have?,operator,yes,guided inquiry-based,info.e-bridge.edu.sg,Assistant-assisted label: passage contains topic-specific evidence 'guided inquiry-based' for the query; independent human verification not performed.
retrieval-operator-centre-eb0001-language,CENTRE:EB0001,operator,What language-learning opportunities are described?,"old) over the years. Our children are very strong-willed in nature. We are very grateful that the school has given very strong support and partnership as we navigate countless challenges at home. We have observed that the design of E-Bridge curriculum has indeed delivered the desired outcome of a curious mind who is confident, capable, creative, communicative and respectable. Willis and Elissa Parenting Resources Parenting 5 Benefits of Guided Inquiry-Based Learning in Kindergarten As a parent, you want the best for your child, particularly in their education. Their early years are crucial for developing the skills and attitudes... Navigating Preschool Separation Anxiety: Tips to Support Your Child Developing Effective Bilingual Children: How Mother Tongue Language Learning in Kindergarten Benefits Your Child Tips for a Smooth Transition into Childcare",https://info.e-bridge.edu.sg/registration-of-interest,0.475,language | learning,yes,what languages are taught in school?,operator,yes,mother tongue language,info.e-bridge.edu.sg,Assistant-assisted label: passage contains topic-specific evidence 'mother tongue language' for the query; independent human verification not performed.
retrieval-operator-centre-eb0001-fees,CENTRE:EB0001,operator,What does the page say about fees or subsidies?,"Experience the Joy of Learning at E-Bridge Pre-School As an ECDA-appointed anchor operator, E-Bridge Pre-School offers high-quality early childhood education from i nfant to kindergarten (2 months to 6 years) at affordable fees for every family. Children explore, create, and discover at their own pace through our Reggio Emilia-inspired, guided inquiry-based approach , supported by our inspiring educators who spark children’s curiosity, imagination, and lifelong love of learning. Upcoming Centres Exciting new learning environments are coming soon, bringing our Reggio Emilia–inspired, guided inquiry-based approach closer to our young learners and their families. E- Bridge Pre-School Punggol Digital District Address: 82 Punggol Way, #03-27 to #03-36, #03-37 and #03-38, Singapore 829910 Email: pdd@e-bridge.edu.sg Estimated Commencement Date: 16 November 2026 Why do families love E-Bridge? Award-winning infant care and preschool by ECDA in 2017, 2019, 2021, 2022, 2023 and 2024. Affordable fees for all families, regardless of background Inquiry-based curriculum guided by the trusted EtonHouse Inquiry.Think.Learn and MOE curriculum framework that taps into children’s innate curiosity and fosters character development and inquiring minds, setting them up for academic success and lifelong learning",https://info.e-bridge.edu.sg/registration-of-interest,0.2375,fees,yes,How much are the school fees and is there any subsidies?,operator,yes,affordable fees,info.e-bridge.edu.sg,Assistant-assisted label: passage contains topic-specific evidence 'affordable fees' for the query; independent human verification not performed.
retrieval-operator-centre-ym0030-curriculum,CENTRE:YM0030,operator,What curriculum or teaching approach does this preschool describe?,"We Build Champions Your child deserves a good start. A teacher who inspires. A fun and creative learning environment. A good role model. A safe haven. Your child deserves M.Y World. Discover More Our Centres Register your Child Careers with Us Our Curriculum Learning takes on a whole new meaning at M.Y World, because we adopt a learner-centred and inquiry approach to teaching. Children participate actively in their learning as they Wonder, Discover and Learn . Our Programmes M.Y World programmes are designed to satisfy the curiosity of children across different age groups and engage their minds in pursuing understanding through reasoning, hypothesising, posing questions, and predicting answers. What Parents Say error: Content is protected.",https://myworld.org.sg/,0.57,curriculum | teaching | approach,yes,What kind of curriculum does the preschool have?,operator,yes,learner-centred and inquiry approach,myworld.org.sg,Assistant-assisted label: passage contains topic-specific evidence 'learner-centred and inquiry approach' for the query; independent human verification not performed.
retrieval-operator-centre-ym0030-enrichment,CENTRE:YM0030,operator,What enrichment activities or programmes are described?,"We Build Champions Your child deserves a good start. A teacher who inspires. A fun and creative learning environment. A good role model. A safe haven. Your child deserves M.Y World. Discover More Our Centres Register your Child Careers with Us Our Curriculum Learning takes on a whole new meaning at M.Y World, because we adopt a learner-centred and inquiry approach to teaching. Children participate actively in their learning as they Wonder, Discover and Learn . Our Programmes M.Y World programmes are designed to satisfy the curiosity of children across different age groups and engage their minds in pursuing understanding through reasoning, hypothesising, posing questions, and predicting answers. What Parents Say error: Content is protected.",https://myworld.org.sg/,0.2375,programme,yes,what kind of activities will the children experience?,operator,no,,myworld.org.sg,Assistant-assisted label: no defensible topic-specific evidence was found in the saved passage; independent human verification not performed.
retrieval-operator-centre-ym0030-philosophy,CENTRE:YM0030,operator,What learning philosophy does the page describe?,"We Build Champions Your child deserves a good start. A teacher who inspires. A fun and creative learning environment. A good role model. A safe haven. Your child deserves M.Y World. Discover More Our Centres Register your Child Careers with Us Our Curriculum Learning takes on a whole new meaning at M.Y World, because we adopt a learner-centred and inquiry approach to teaching. Children participate actively in their learning as they Wonder, Discover and Learn . Our Programmes M.Y World programmes are designed to satisfy the curiosity of children across different age groups and engage their minds in pursuing understanding through reasoning, hypothesising, posing questions, and predicting answers. What Parents Say error: Content is protected.",https://myworld.org.sg/,0.2375,learning,yes,What kind of learning methods does the school emphasis on?,operator,yes,learner-centred and inquiry approach,myworld.org.sg,Assistant-assisted label: passage contains topic-specific evidence 'learner-centred and inquiry approach' for the query; independent human verification not performed.
retrieval-operator-centre-pt8350-philosophy,CENTRE:PT8350,operator,What learning philosophy does the page describe?,"Who We Are With 37 years of expertise, Small Wonder has established themselves to be one of the leading POP preschools in Singapore. We believe that learning should be fun, enjoyable, and discovered by children themselves, all in an environment that they look forward to going to every day; Our Vision & Mission Our Team Stay Updated! Follow us on socials and be in the loop for all upcoming Small Wonder events and centre updates. Facebook Instagram Schedule A Tour",https://smallwonderpreschool.com/,0.2375,learning,yes,What kind of learning methods does the school emphasis on?,operator,yes,learning should be fun,smallwonderpreschool.com,Assistant-assisted label: passage contains topic-specific evidence 'learning should be fun' for the query; independent human verification not performed.
retrieval-operator-centre-pt8350-facilities,CENTRE:PT8350,operator,What facilities or learning environment are described?,"Who We Are With 37 years of expertise, Small Wonder has established themselves to be one of the leading POP preschools in Singapore. We believe that learning should be fun, enjoyable, and discovered by children themselves, all in an environment that they look forward to going to every day; Our Vision & Mission Our Team Stay Updated! Follow us on socials and be in the loop for all upcoming Small Wonder events and centre updates. Facebook Instagram Schedule A Tour",https://smallwonderpreschool.com/,0.475,learning | environment,yes,How is the learning environment of the school,operator,no,,smallwonderpreschool.com,Assistant-assisted label: no defensible topic-specific evidence was found in the saved passage; independent human verification not performed.
retrieval-operator-centre-pt6100-curriculum,CENTRE:PT6100,operator,What curriculum or teaching approach does this preschool describe?,"At Learning Kidz, we are committed to nurturing our children and preparing them for a head start for the upcoming challenges of their formal education, beyond preschool. ABOUT US Register D'Kidz is the enrichment arm of the Learning Kidz Group, powered by Learning Kidz. ​ We offer a range of programmes designed for the little ones to improve their gross & fine motor skills, creativity, logic reasoning, decision making, amongst many other skills essential to build upon in their growing years . Click below to learn more about the programmes available. Go To Website PROGRAMME Read More > CENTRES LK FAMILY FAQs",https://www.learningkidz.com.sg/,0.49,curriculum | approach | preschool,yes,What kind of curriculum does the preschool have?,operator,no,,www.learningkidz.com.sg,Assistant-assisted label: saved passage does not answer the query; independent human verification not performed.
retrieval-operator-centre-pt6100-enrichment,CENTRE:PT6100,operator,What enrichment activities or programmes are described?,"At Learning Kidz, we are committed to nurturing our children and preparing them for a head start for the upcoming challenges of their formal education, beyond preschool. ABOUT US Register D'Kidz is the enrichment arm of the Learning Kidz Group, powered by Learning Kidz. ​ We offer a range of programmes designed for the little ones to improve their gross & fine motor skills, creativity, logic reasoning, decision making, amongst many other skills essential to build upon in their growing years . Click below to learn more about the programmes available. Go To Website PROGRAMME Read More > CENTRES LK FAMILY FAQs",https://www.learningkidz.com.sg/,0.475,enrichment | programme,yes,what kind of activities will the children experience?,operator,no,,www.learningkidz.com.sg,Assistant-assisted label: no defensible topic-specific evidence was found in the saved passage; independent human verification not performed.
retrieval-operator-centre-pt6100-philosophy,CENTRE:PT6100,operator,What learning philosophy does the page describe?,"At Learning Kidz, we are committed to nurturing our children and preparing them for a head start for the upcoming challenges of their formal education, beyond preschool. ABOUT US Register D'Kidz is the enrichment arm of the Learning Kidz Group, powered by Learning Kidz. ​ We offer a range of programmes designed for the little ones to improve their gross & fine motor skills, creativity, logic reasoning, decision making, amongst many other skills essential to build upon in their growing years . Click below to learn more about the programmes available. Go To Website PROGRAMME Read More > CENTRES LK FAMILY FAQs",https://www.learningkidz.com.sg/,0.2375,learning,yes,What kind of learning methods does the school emphasis on?,operator,yes,every child is capable of shining | equal opportunities | holistic learning experience,www.learningkidz.com.sg,The operator states that every child can shine when given equal opportunities and aims to provide a caring environment for holistic learning; this is not verified for a particular branch.
